date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:08:26	37059/37059	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2009:40:20%20GMT	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html	(from )
15:08:27	1002/1002	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2009:40:21%20GMT	https://demo.w3layouts.com/robots.txt		(from )
15:08:28	178152/178152	---M-Z	200	added ('OK')	text/css	etag:%221523512752%22	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/css/bootstrap.css	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/css/bootstrap.css	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:29	16796/16796	---M-Z	200	added ('OK')	text/css	etag:%221523512752%22	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/css/jquery.desoslide.css	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/css/jquery.desoslide.css	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:30	29319/29319	---M-Z	200	added ('OK')	text/css	etag:%221523512752%22	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/css/style.css	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/css/style.css	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:31	43229/43229	---M-Z	200	added ('OK')	text/css	etag:%221523512752%22	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/css/fontawesome-all.css	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/css/fontawesome-all.css	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:34	56727/56727	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f1e37f26673275e6067c026e595b148f%22	http://m.servedby-buysellads.com/monetization.js	C:/xampp/htdocs/theme/neel/m.servedby-buysellads.com/monetization.js	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:36	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/xampp/htdocs/theme/neel/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:36	2240/2240	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2028%20Dec%202019%2009:40:30%20GMT	https://codefund.io/properties/441/funder.js	C:/xampp/htdocs/theme/neel/codefund.io/properties/441/funder.js	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:36	24793/24793	---M-Z	200	added ('OK')	application/javascript	etag:%221570541238%22	https://demo.w3layouts.com/js/autotrack.js	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/js/autotrack.js	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:36	3159/3159	---M-Z	200	added ('OK')	text/css	etag:%221575469126%22	https://demo.w3layouts.com/images/demobar_w3_4thDec2019.css	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/images/demobar_w3_4thDec2019.css	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:38	15238/15238	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2009:40:33%20GMT	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/login.html	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/login.html	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:40	16012/16012	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2009:40:35%20GMT	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/register.html	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/register.html	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:42	22672/22672	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2009:40:36%20GMT	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/about.html	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/about.html	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:44	25189/25189	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2009:40:38%20GMT	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/blog1.html	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/blog1.html	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:46	29257/29257	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2009:40:40%20GMT	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/blog2.html	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/blog2.html	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:48	23201/23201	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2009:40:42%20GMT	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/blog3.html	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/blog3.html	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:50	16823/16823	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2009:40:44%20GMT	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/contact.html	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/contact.html	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:52	21005/21005	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2009:40:46%20GMT	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/single.html	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/single.html	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:53	17655/17655	---M--	200	added ('OK')	image/jpeg	etag:%221573816345%22	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/1.jpg	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:53	30601/30601	---M--	200	added ('OK')	image/jpeg	etag:%221573816345%22	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/2.jpg	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/2.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:54	16661/16661	---M--	200	added ('OK')	image/jpeg	etag:%221573816344%22	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/4.jpg	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/4.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:54	31981/31981	---M--	200	added ('OK')	image/jpeg	etag:%221573816345%22	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/3.jpg	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/3.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:56	39002/39002	---M--	200	added ('OK')	image/jpeg	etag:%221573816345%22	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/5.jpg	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/5.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:56	71186/71186	---M--	200	added ('OK')	image/jpeg	etag:%221573816344%22	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/b1.jpg	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/b1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
